"","cluster","nei","min_d","ncom","name","value"
"470",7,10,0.5,3,"db",0.999398118368538
"471",7,10,0.5,3,"ch",1100.9128990411
"472",8,10,0.5,3,"sil",0.335965604196628
"473",8,10,0.5,3,"db",0.962750881976641
"474",8,10,0.5,3,"ch",1072.91614185801
"475",9,10,0.5,3,"sil",0.323848287817305
"476",9,10,0.5,3,"db",1.0012776214246
"477",9,10,0.5,3,"ch",1052.52148611234
"478",10,10,0.5,3,"sil",0.312358771098687
"479",10,10,0.5,3,"db",1.02013431836871
"480",10,10,0.5,3,"ch",1020.70387030513
"481",1,10,0.8,3,"sil",0
"482",1,10,0.8,3,"db",0
"483",1,10,0.8,3,"ch",0
"484",2,10,0.8,3,"sil",0.276404908749903
"485",2,10,0.8,3,"db",1.50298257407421
"486",2,10,0.8,3,"ch",772.601318164341
"487",3,10,0.8,3,"sil",0.285506963360498
"488",3,10,0.8,3,"db",1.20853358403714
"489",3,10,0.8,3,"ch",869.13543592229
"490",4,10,0.8,3,"sil",0.31275616556261
"491",4,10,0.8,3,"db",1.03917624599921
"492",4,10,0.8,3,"ch",953.683984240705
"493",5,10,0.8,3,"sil",0.310008909991468
"494",5,10,0.8,3,"db",1.08165800273842
"495",5,10,0.8,3,"ch",925.348418370404
"496",6,10,0.8,3,"sil",0.310750909260479
"497",6,10,0.8,3,"db",1.03030695000811
"498",6,10,0.8,3,"ch",912.238825228864
"499",7,10,0.8,3,"sil",0.299326727247779
"500",7,10,0.8,3,"db",1.04021025719966
"501",7,10,0.8,3,"ch",900.225669387692
"502",8,10,0.8,3,"sil",0.295516289773066
"503",8,10,0.8,3,"db",1.0296324667974
"504",8,10,0.8,3,"ch",872.108360891353
"505",9,10,0.8,3,"sil",0.293855086137352
"506",9,10,0.8,3,"db",1.03966174412876
"507",9,10,0.8,3,"ch",855.815615414395
"508",10,10,0.8,3,"sil",0.280803248494945
"509",10,10,0.8,3,"db",1.02419111946729
"510",10,10,0.8,3,"ch",852.158592475034
"511",1,10,0.99,3,"sil",0
"512",1,10,0.99,3,"db",0
"513",1,10,0.99,3,"ch",0
"514",2,10,0.99,3,"sil",0.284449266247323
"515",2,10,0.99,3,"db",1.3070872523711
"516",2,10,0.99,3,"ch",951.135558131431
"517",3,10,0.99,3,"sil",0.329201413967795
"518",3,10,0.99,3,"db",1.11681627415961
"519",3,10,0.99,3,"ch",1119.70183709655
"520",4,10,0.99,3,"sil",0.319573170390215
"521",4,10,0.99,3,"db",1.04424840165651
"522",4,10,0.99,3,"ch",1022.11401931937
"523",5,10,0.99,3,"sil",0.277305849149495
"524",5,10,0.99,3,"db",1.09489018535874
"525",5,10,0.99,3,"ch",1033.41629250976
"526",6,10,0.99,3,"sil",0.292425193884978
"527",6,10,0.99,3,"db",1.08788548145452
"528",6,10,0.99,3,"ch",1001.20567157109
"529",7,10,0.99,3,"sil",0.298715809114108
"530",7,10,0.99,3,"db",1.08283473852641
"531",7,10,0.99,3,"ch",989.778486717829
"532",8,10,0.99,3,"sil",0.297217831851245
"533",8,10,0.99,3,"db",1.06511303102099
"534",8,10,0.99,3,"ch",951.895345690075
"535",9,10,0.99,3,"sil",0.294020130790492
"536",9,10,0.99,3,"db",1.04378841208743
"537",9,10,0.99,3,"ch",920.659682257092
"538",10,10,0.99,3,"sil",0.276659756228195
"539",10,10,0.99,3,"db",1.08225612898912
"540",10,10,0.99,3,"ch",896.747448370164
"541",1,20,0,3,"sil",0
"542",1,20,0,3,"db",0
"543",1,20,0,3,"ch",0
"544",2,20,0,3,"sil",0.410126312844195
"545",2,20,0,3,"db",1.09884769465001
"546",2,20,0,3,"ch",1382.66038297176
"547",3,20,0,3,"sil",0.565567807290548
"548",3,20,0,3,"db",0.60031095998979
"549",3,20,0,3,"ch",2854.71031959837
"550",4,20,0,3,"sil",0.510368656113525
"551",4,20,0,3,"db",0.728665356447638
"552",4,20,0,3,"ch",3458.06416475857
"553",5,20,0,3,"sil",0.462488260937313
"554",5,20,0,3,"db",0.786506619844433
"555",5,20,0,3,"ch",3455.21349868722
"556",6,20,0,3,"sil",0.473428546258304
"557",6,20,0,3,"db",0.877599526018341
"558",6,20,0,3,"ch",3322.44341067353
"559",7,20,0,3,"sil",0.417728692625361
"560",7,20,0,3,"db",0.773709279021851
"561",7,20,0,3,"ch",3392.32312741174
"562",8,20,0,3,"sil",0.440010813396822
"563",8,20,0,3,"db",0.799728305451181
"564",8,20,0,3,"ch",3457.85194919329
"565",9,20,0,3,"sil",0.398967526142125
"566",9,20,0,3,"db",0.897500679651646
"567",9,20,0,3,"ch",3370.84416644023
"568",10,20,0,3,"sil",0.370767359054189
"569",10,20,0,3,"db",0.937280016796961
"570",10,20,0,3,"ch",3212.16318919228
"571",1,20,0.1,3,"sil",0
"572",1,20,0.1,3,"db",0
"573",1,20,0.1,3,"ch",0
"574",2,20,0.1,3,"sil",0.446681635157196
"575",2,20,0.1,3,"db",0.929737422205878
"576",2,20,0.1,3,"ch",2014.68074453658
"577",3,20,0.1,3,"sil",0.515175996501989
"578",3,20,0.1,3,"db",0.688153648997369
"579",3,20,0.1,3,"ch",2480.57532540106
"580",4,20,0.1,3,"sil",0.502115278121472
"581",4,20,0.1,3,"db",0.712044512072947
"582",4,20,0.1,3,"ch",3247.33576529337
"583",5,20,0.1,3,"sil",0.478677873016257
"584",5,20,0.1,3,"db",0.824268235770441
"585",5,20,0.1,3,"ch",3299.95015555881
"586",6,20,0.1,3,"sil",0.426313318994156
